id,p_sour,p_name,c_numb,colors
153,zhihu,nameless,9,"#1D91C2, #205EA7, #205EA7, #38B6C4, #3BB6C5, #7ECBB9, #965478, #C8E2B2, #EAF0B2"
154,zhihu,nameless,9,"#008E8A, #176A7A, #2E4857, #39B086, #88CF73, #DDE554, #DFE662, #E00200, #F8AF62"
155,zhihu,nameless,9,"#5BA9BD, #95BE54, #9D6067, #A93935, #B0783D, #D5A6A0, #DBCC57, #DCDE8B, #E0BB6D"
156,zhihu,nameless,9,"#508D40, #65A8EC, #8C4E29, #96A4C7, #A9B233, #B7C6E5, #D38386, #DB9C4D, #DDA5C8"
157,zhihu,nameless,9,"#75B0B4, #806CAB, #869C76, #AD4641, #AFAFAD, #AFC9A6, #B4C4E5, #D19692, #DED0A1"
158,zhihu,nameless,9,"#00BBF9, #1E90FF, #22A884, #22A884, #2A788E, #4AAC44, #7AD151, #EB1C4A, #FF8C00"
159,zhihu,nameless,9,"#3D5DA8, #694F98, #B2B0D7, #B90978, #C2DCAF, #CE7A5E, #D6E1F5, #DBA43F, #ECDE93"
160,zhihu,nameless,10,"#291173, #356529, #611A44, #629586, #832F87, #858A2E, #95BEEC, #A75265, #CBC46A, #D5D5D5"
161,zhihu,nameless,10,"#40B0A6, #6D8EF7, #6E579A, #A38E89, #A5C8DD, #CD5582, #E1BE6A, #E1BE6A, #E89A7A, #EC6B2D"
162,zhihu,nameless,10,"#016450, #237B7A, #4592A5, #67A9CF, #7D4C99, #8AB6D7, #9FAAD1, #ADC4DE, #D0D1E6, #D0DAEB"
163,zhihu,nameless,11,"#2900F2, #75AAB8, #8985B7, #A04646, #A3C98E, #AE3019, #B3C4D4, #B58C9A, #CFC580, #DCCB59, #E8DF92"
164,zhihu,nameless,11,"#484848, #666666, #999999, #99D1D0, #9F6BBF, #A0B3DC, #BEA4BD, #CCCCCC, #CF66A5, #FAC5C6, #FCDFC7"
165,zhihu,nameless,11,"#858585, #93B190, #B6E2FB, #B9BB8E, #D1D1D1, #DB6A5D, #DFDEE1, #E1E3FF, #E4CAD1, #FCCFE7, #FF8901"
166,zhihu,nameless,11,"#596AAF, #75A6DE, #75AD8A, #7EB1A0, #A4C962, #B0CBE6, #B3D250, #C8795A, #D0813C, #D4C649, #DEBB5D"
167,zhihu,nameless,12,"#7895C1, #8074C8, #992224, #A8CBDF, #B54764, #D6EFF4, #E3625D, #EF8B67, #F0C284, #F2FAFC, #F5EBAE, #F7FBC9"
168,zhihu,nameless,12,"#0072BD, #08306B, #08519C, #2171B5, #6BAED6, #77AC30, #969696, #C6DBEF, #D95319, #EDB120, #FED976, #FFFFCC"
169,zhihu,nameless,12,"#5861AC, #6AB4C1, #6B7EB9, #70B48F, #72C3A3, #A5C2E2, #F28080, #FEA040, #FF6100, #FF7F00, #FFC080, #FFE0C1"
170,zhihu,nameless,12,"#2C6344, #308192, #5EA7B8, #5F9C61, #61496D, #A4C97C, #AED2E2, #B092B6, #C74D26, #CAC1D4, #E38D26, #F1CC74"
171,zhihu,nameless,12,"#4626F6, #6C0E0F, #7B1415, #8479F9, #9CAD8B, #CB181C, #CE403F, #D3D0FD, #DB8382, #DFE8D5, #EBCEC0, #ECD2D3"
172,zhihu,nameless,12,"#654E5E, #78828B, #A49193, #B5C9BE, #C89D94, #D3DCE3, #D6E3D2, #DECCA6, #E0DEDF, #EDE7D9, #EFE1D6, #F3E3E3"
173,zhihu,nameless,14,"#26445E, #474769, #4C7780, #73A5A2, #7C4D77, #B2B6C1, #B55384, #C76B60, #D68438, #D6E2E2, #E4A031, #F0EFED, #F3DBC1, #F6E2C1"
174,zhihu,nameless,14,"#0000FE, #00688B, #01008A, #1E90FF, #228B22, #566B30, #698B6A, #8370FE, #8B8378, #8B864E, #A020EF, #FE0000, #FF7F00, #FFB90F"
175,zhihu,nameless,14,"#000000, #262A85, #4C9140, #519475, #5B99E6, #5D2B84, #6A4C30, #ACCBE8, #BE3731, #C65537, #DDA43D, #EDDB31, #EDF4FA, #F1EBED"
176,zhihu,nameless,16,"#2D8875, #52AADC, #7C7979, #7FABD1, #91CCC0, #963B79, #97D0C5, #B5CE4E, #BD7795, #C7C1DE, #C89736, #D75B4E, #EC6E66, #EEB6D4, #F39865, #F7AC53"
177,zhihu,nameless,16,"#00A664, #3FA0C0, #4C6C43, #5086C4, #7C7CBA, #B55489, #C7B8BD, #D5D9E5, #D5D9E5, #D6E0C8, #D6E0C8, #DCE125, #F0A19A, #F9ED1D, #FEDEC5, #FFF0BC"
178,Rpk{ggsci},pal_aaas,10,"#3B4992, #EE0000, #008B45, #631879, #008280, #BB0021, #5F559B, #A20056, #808180, #1B1919"
179,Rpk{ggsci},pal_atlassian,8,"#4688EC, #94C748, #C97CF4, #FCA700, #1558BC, #964AC0, #42B2D7, #E06C00"
180,Rpk{ggsci},pal_bmj,9,"#2A6EBB, #F0AB00, #C50084, #7D5CC6, #E37222, #69BE28, #00B2A9, #CD202C, #747678"
181,Rpk{ggsci},pal_bs5,10,"#CEE1FF, #A3C8FD, #78AEFE, #4C94FC, #237AFF, #0363EA, #0A50B8, #073D8C, #04295F, #021533"
182,Rpk{ggsci},pal_cosmic,10,"#2E2A2B, #CF4E9C, #8C57A2, #358DB9, #82581F, #2F509E, #E5614C, #97A1A7, #3DA873, #DC9445"
183,Rpk{ggsci},pal_d3,10,"#1F77B4, #FF7F0E, #2CA02C, #D62728, #9467BD, #8C564B, #E377C2, #7F7F7F, #BCBD22, #17BECF"
184,Rpk{ggsci},pal_flatui,10,"#C0392B, #D35400, #F39C12, #27AE60, #16A085, #2980B9, #8E44AD, #2C3E50, #7F8C8D, #BDC3C7"
185,Rpk{ggsci},pal_frontiers,10,"#D51317, #F39200, #EFD500, #95C11F, #007B3D, #31B7BC, #0094CD, #164194, #6F286A, #706F6F"
186,Rpk{ggsci},pal_futurama,12,"#FF6F00, #C71000, #008EA0, #8A4198, #5A9599, #FF6348, #84D7E1, #FF95A8, #3D3B25, #ADE2D0, #1A5354, #3F4041"
187,Rpk{ggsci},pal_gsea,12,"#4500AC, #2600D1, #6B58EE, #8787FF, #C6C0FF, #D4D4FF, #FFBFE5, #FF8888, #FF707F, #FF5959, #EE3F3F, #D60C00"
188,Rpk{ggsci},pal_igv,51,"#5050FF, #CE3D32, #749B58, #F0E685, #466983, #BA6338, #5DB1DD, #802268, #6BD76B, #D595A7, #924822, #837B8D, #C75127, #D58F5C, #7A65A5, #E4AF69, #3B1B53, #CDDEB7, #612A79, #AE1F63, #E7C76F, #5A655E, #CC9900, #99CC00, #A9A9A9, #CC9900, #99CC00, #33CC00, #00CC33, #00CC99, #0099CC, #0A47FF, #4775FF, #FFC20A, #FFD147, #990033, #991A00, #996600, #809900, #339900, #00991A, #009966, #008099, #003399, #1A0099, #660099, #990080, #D60047, #FF1463, #00D68F, #14FFB1"
189,Rpk{ggsci},pal_iterm,6,"#00CDE8, #FFC739, #FF666D, #9DEAF6, #B3E03A, #A392E8"
190,Rpk{ggsci},pal_jama,7,"#374E55, #DF8F44, #00A1D5, #B24745, #79AF97, #6A6599, #80796B"
191,Rpk{ggsci},pal_jco,10,"#0073C2, #EFC000, #868686, #CD534C, #7AA6DC, #003C67, #8F7700, #3B3B3B, #A73030, #4A6990"
192,Rpk{ggsci},pal_lancet,9,"#00468B, #ED0000, #42B540, #0099B4, #925E9F, #FDAF91, #AD002A, #ADB6B6, #1B1919"
193,Rpk{ggsci},pal_locuszoom,7,"#D43F3A, #EEA236, #5CB85C, #46B8DA, #357EBD, #9632B8, #B8B8B8"
194,Rpk{ggsci},pal_material,10,"#FFEBED, #FFCCD2, #EE9999, #E57272, #EE5250, #F34335, #E53934, #D22E2E, #C52727, #B71B1B"
195,Rpk{ggsci},pal_nejm,8,"#BC3C29, #0072B5, #E18727, #20854E, #7876B1, #6F99AD, #FFDC91, #EE4C97"
196,Rpk{ggsci},pal_npg,10,"#E64B35, #4DBBD5, #00A087, #3C5488, #F39B7F, #8491B4, #91D1C2, #DC0000, #7E6148, #B09C85"
197,Rpk{ggsci},pal_observable,10,"#4269D0, #EFB118, #FF725C, #6CC5B0, #3CA951, #FF8AB7, #A463F2, #97BBF5, #9C6B4E, #9498A0"
198,Rpk{ggsci},pal_primer,17,"#006EDB, #EB670F, #DF0C24, #179B9B, #30A147, #894CEB, #B88700, #CE2C85, #856D4C, #527A29, #D43511, #167E53, #9D615C, #64762D, #A830E8, #866E04, #808FA3"
199,Rpk{ggsci},pal_rickandmorty,12,"#FAFD7C, #82491E, #24325F, #B7E4F9, #FB6467, #526E2D, #E762D7, #E89242, #FAE48B, #A6EEE6, #917C5D, #69C8EC"
200,Rpk{ggsci},pal_simpsons,16,"#FED439, #709AE1, #8A9197, #D2AF81, #FD7446, #D5E4A2, #197EC0, #F05C3B, #46732E, #71D0F5, #370335, #075149, #C80813, #91331F, #1A9993, #FD8CC1"
201,Rpk{ggsci},pal_startrek,7,"#CC0C00, #5C88DA, #84BD00, #FFCD00, #7C878E, #00B5E2, #00AF66"
202,Rpk{ggsci},pal_tron,7,"#FF410D, #6EE2FF, #F7C530, #95CC5E, #D0DFE6, #F79D1E, #748AA6"
203,Rpk{ggsci},pal_tw3,10,"#F8F9FC, #EFF3F8, #DEE5ED, #BBC6D5, #7C8CA3, #516075, #39475B, #222E40, #10182B, #010617"
204,Rpk{ggsci},pal_uchicago,9,"#800000, #767676, #FFA319, #8A9045, #155F83, #C16622, #8F3931, #58593F, #350E20"
205,Rpk{ggsci},pal_ucscgb,26,"#FF0000, #FF9900, #FFCC00, #00FF00, #6699FF, #CC33FF, #99991E, #999999, #FF00CC, #CC0000, #FFCCCC, #FFFF00, #CCFF00, #358000, #0000CC, #99CCFF, #00FFFF, #CCFFFF, #9900CC, #CC99FF, #996600, #666600, #666666, #CCCCCC, #79CC3D, #CCCC99"
206,Rpk{grDevices},R3,8,"#000000, #FF0000, #00CD00, #0000FF, #00FFFF, #FF00FF, #FFFF00, #BEBEBE"
207,Rpk{grDevices},R4,8,"#000000, #DF536B, #61D04F, #2297E6, #28E2E5, #CD0BBC, #F5C710, #9E9E9E"
208,Rpk{grDevices},ggplot2,8,"#000000, #F8766D, #00BA38, #619CFF, #00BFC4, #F564E3, #B79F00, #9E9E9E"
209,Rpk{grDevices},Okabe-Ito,9,"#000000, #E69F00, #56B4E9, #009E73, #F0E442, #0072B2, #D55E00, #CC79A7, #999999"
210,Rpk{grDevices},Accent,8,"#7FC97F, #BEAED4, #FDC086, #FFFF99, #386CB0, #F0027F, #BF5B17, #666666"
211,Rpk{grDevices},Dark 2,8,"#1B9E77, #D95F02, #7570B3, #E7298A, #66A61E, #E6AB02, #A6761D, #666666"
212,Rpk{grDevices},Paired,12,"#A6CEE3, #1F78B4, #B2DF8A, #33A02C, #FB9A99, #E31A1C, #FDBF6F, #FF7F00, #CAB2D6, #6A3D9A, #FFFF99, #B15928"
213,Rpk{grDevices},Pastel 1,9,"#FBB4AE, #B3CDE3, #CCEBC5, #DECBE4, #FED9A6, #FFFFCC, #E5D8BD, #FDDAEC, #F2F2F2"
214,Rpk{grDevices},Pastel 2,8,"#B3E2CD, #FDCDAC, #CBD5E8, #F4CAE4, #E6F5C9, #FFF2AE, #F1E2CC, #CCCCCC"
215,Rpk{grDevices},Set 1,9,"#E41A1C, #377EB8, #4DAF4A, #984EA3, #FF7F00, #FFFF33, #A65628, #F781BF, #999999"
216,Rpk{grDevices},Set 2,8,"#66C2A5, #FC8D62, #8DA0CB, #E78AC3, #A6D854, #FFD92F, #E5C494, #B3B3B3"
217,Rpk{grDevices},Set 3,12,"#8DD3C7, #FFFFB3, #BEBADA, #FB8072, #80B1D3, #FDB462, #B3DE69, #FCCDE5, #D9D9D9, #BC80BD, #CCEBC5, #FFED6F"
218,Rpk{grDevices},Tableau 10,10,"#4E79A7, #F28E2B, #E15759, #76B7B2, #59A14F, #EDC948, #B07AA1, #FF9DA7, #9C755F, #BAB0AC"
219,Rpk{grDevices},Classic Tableau,10,"#1F77B4, #FF7F0E, #2CA02C, #D62728, #9467BD, #8C564B, #E377C2, #7F7F7F, #BCBD22, #17BECF"
220,Rpk{grDevices},Polychrome 36,36,"#5A5156, #E4E1E3, #F6222E, #FE00FA, #16FF32, #3283FE, #FEAF16, #B00068, #1CFFCE, #90AD1C, #2ED9FF, #DEA0FD, #AA0DFE, #F8A19F, #325A9B, #C4451C, #1C8356, #85660D, #B10DA1, #FBE426, #1CBE4F, #FA0087, #FC1CBF, #F7E1A0, #C075A6, #782AB6, #AAF400, #BDCDFF, #822E1C, #B5EFB5, #7ED7D1, #1C7F93, #D85FF7, #683B79, #66B0FF, #3B00FB"
221,Rpk{grDevices},Alphabet,26,"#AA0DFE, #3283FE, #85660D, #782AB6, #565656, #1C8356, #16FF32, #F7E1A0, #E2E2E2, #1CBE4F, #C4451C, #DEA0FD, #FE00FA, #325A9B, #FEAF16, #F8A19F, #90AD1C, #F6222E, #1CFFCE, #2ED9FF, #B10DA1, #C075A6, #FC1CBF, #B00068, #FBE426, #FA0087"
222,Rpk{RColorBrewer},Accent,8,"#7FC97F, #BEAED4, #FDC086, #FFFF99, #386CB0, #F0027F, #BF5B17, #666666"
223,Rpk{RColorBrewer},Dark2,8,"#1B9E77, #D95F02, #7570B3, #E7298A, #66A61E, #E6AB02, #A6761D, #666666"
224,Rpk{RColorBrewer},Paired,12,"#A6CEE3, #1F78B4, #B2DF8A, #33A02C, #FB9A99, #E31A1C, #FDBF6F, #FF7F00, #CAB2D6, #6A3D9A, #FFFF99, #B15928"
225,Rpk{RColorBrewer},Pastel1,9,"#FBB4AE, #B3CDE3, #CCEBC5, #DECBE4, #FED9A6, #FFFFCC, #E5D8BD, #FDDAEC, #F2F2F2"
226,Rpk{RColorBrewer},Pastel2,8,"#B3E2CD, #FDCDAC, #CBD5E8, #F4CAE4, #E6F5C9, #FFF2AE, #F1E2CC, #CCCCCC"
227,Rpk{RColorBrewer},Set1,9,"#E41A1C, #377EB8, #4DAF4A, #984EA3, #FF7F00, #FFFF33, #A65628, #F781BF, #999999"
228,Rpk{RColorBrewer},Set2,8,"#66C2A5, #FC8D62, #8DA0CB, #E78AC3, #A6D854, #FFD92F, #E5C494, #B3B3B3"
229,Rpk{RColorBrewer},Set3,12,"#8DD3C7, #FFFFB3, #BEBADA, #FB8072, #80B1D3, #FDB462, #B3DE69, #FCCDE5, #D9D9D9, #BC80BD, #CCEBC5, #FFED6F"
